"file","title","windowMeasures","reasons","eventMeasures","selectedCenter","proposalCount","primaryName","primaryChords","referenceStatus","functionAgreement","rootAgreement"
"Airegin.musicxml","Untitled score","1 2 3 4 5 6 8 9","primary-window reference-coverage","","Bb minor","4","Estratégia — Centro de referência","F7 | Ebm7 | F7 | Ebm7 | F7 | Ebm7 | F7 | Bbm","aligned","1","0.75"
"Airegin.musicxml","Untitled score","24 25 26 27 28 29 30 31","reference-coverage interesting-event","30","Bb minor","1","Estratégia — Centro de referência","F7 | Bbm | Bbm6 | Ab7 | Bbm | Ab7 | Bbm7 | Bbm7","divergent","0.13","0"
"Airegin.musicxml","Untitled score","23 24 25 26 27 28 29 30","reference-coverage interesting-event","30","Bb minor","1","Estratégia — Centro de referência","Ab7 | F7 | Bbm | Bbm6 | Ab7 | Bbm | Ab7 | Bbm7","divergent","0.25","0.13"
"Airegin.musicxml","Untitled score","25 26 27 28 29 30 31 33","reference-coverage interesting-event","30","Bb minor","1","Estratégia — Centro de referência","Bbm | Bbm6 | Ab7 | Bbm | Ab7 | Bbm7 | Ab7 | Bbm7","divergent","0.25","0.13"
"Airegin.musicxml","Untitled score","26 27 28 29 30 31 33 34","reference-coverage interesting-event","30","Ab major","7","Estratégia — Centro de referência","Eb7 | Ab | Bbm7 | Fm7 | Db | Ab | Ab | Ab","divergent","0.29","0.29"
"Airegin.musicxml","Untitled score","21 22 23 24 25 26 27 28","reference-coverage","","Ab major","6","Estratégia — Centro de referência","Db | Eb7 | Cm | Fm7 | Db | Eb7 | Ab | Ab","aligned","0.75","0.25"
"Airegin.musicxml","Untitled score","22 23 24 25 26 27 28 29","reference-coverage","","Bb minor","2","Estratégia — Centro de referência","Ebm7 | Ab7 | F7 | Bbm | Bbm6 | Ab7 | Bbm | Bbm7","partially-aligned","0.5","0.38"
"Airegin.musicxml","Untitled score","20 21 22 23 24 25 26 27","reference-coverage","","Ab major","3","Estratégia — Centro de referência","Db | Db | Eb7 | Cm | Fm7 | Db | Eb7 | Ab","partially-aligned","0.71","0.29"
"Airegin.musicxml","Untitled score","10 12 13 14 15 16 17 18","reference-coverage","","C major","1","Estratégia — Centro de referência","G7 | F | F | G7 | C | C | C | C","divergent","0.25","0.25"
"Airegin.musicxml","Untitled score","12 13 14 15 16 17 18 19","reference-coverage","","Bb major","2","Estratégia — Centro de referência","Bb | Bb | Gm7 | Bb | Bb | Eb | F7 | Bb","divergent","0.38","0.25"
"Airegin.musicxml","Untitled score","19 20 21 22 23 24 25 26","reference-coverage","","Ab major","4","Estratégia — Centro de referência","Eb7 | Db | Db | Eb7 | Cm | Fm7 | Db | Ab","partially-aligned","0.57","0.29"
"Airegin.musicxml","Untitled score","8 9 10 12 13 14 15 16","reference-coverage","","C major","1","Estratégia — Centro de referência","F | F | G7 | F | F | G7 | C | C","divergent","0.25","0.25"
"Airegin.musicxml","Untitled score","9 10 12 13 14 15 16 17","reference-coverage","","Cb major","1","Estratégia — Centro de referência","Gb7 | Abm7 | Gb7 | Cb | Cb | Cb | Gb7 | Cb","partially-aligned","0.63","0.13"
"Airegin.musicxml","Untitled score","13 14 15 16 17 18 19 20","reference-coverage","","Bb major","3","Estratégia — Centro de referência","Bb | Gm7 | Bb | Bb | Eb | F7 | Gm7 | Bb","divergent","0.29","0"
"Airegin.musicxml","Untitled score","5 6 8 9 10 12 13 14","reference-coverage","","Bb minor","3","Estratégia — Centro de referência","F7 | Ebm7 | F7 | Bbm | Ab7 | Bbm | Bbm | Bbm6","aligned","0.75","0.5"
"Airegin.musicxml","Untitled score","6 8 9 10 12 13 14 15","reference-coverage","","C major","1","Estratégia — Centro de referência","C | F | F | G7 | F | F | G7 | C","divergent","0.38","0.38"
"Airegin.musicxml","Untitled score","14 15 16 17 18 19 20 21","reference-coverage","","C major","1","Estratégia — Centro de referência","G7 | C | C | C | F | G7 | G7 | C","divergent","0.14","0.14"
"Airegin.musicxml","Untitled score","18 19 20 21 22 23 24 25","reference-coverage","","Bb major","3","Estratégia — Centro de referência","F7 | Gm7 | Bb | Bb | Eb | Cm7 | F7 | Bb","partially-aligned","0.57","0.29"
"Airegin.musicxml","Untitled score","15 16 17 18 19 20 21 22","reference-coverage","","Cb major","1","Estratégia — Centro de referência","Cb | Gb7 | Cb | Cb | Cb | Cb | Gb7 | Cb","partially-aligned","0.43","0.14"
"Airegin.musicxml","Untitled score","16 17 18 19 20 21 22 23","reference-coverage","","Ab major","5","Estratégia — Centro de referência","Ab | Ab | Fm7 | Eb7 | Db | Db | Eb7 | Ab","partially-aligned","0.57","0.29"
"Airegin.musicxml","Untitled score","17 18 19 20 21 22 23 24","reference-coverage","","Bb major","1","Estratégia — Centro de referência","Eb | F7 | Gm7 | Bb | Bb | Eb | Cm7 | Bb","partially-aligned","0.71","0.29"
"Airegin.musicxml","Untitled score","4 5 6 8 9 10 12 13","reference-coverage","","Bb minor","5","Estratégia — Centro de referência","Ebm7 | F7 | Ebm7 | F7 | Bbm | Ab7 | Bbm | Bbm","aligned","0.86","0.57"
"Airegin.musicxml","Untitled score","3 4 5 6 8 9 10 12","reference-coverage","","Bb minor","4","Estratégia — Centro de referência","F7 | Ebm7 | F7 | Ebm7 | F7 | Bbm | Ab7 | Bbm","aligned","0.83","0.67"
"Airegin.musicxml","Untitled score","2 3 4 5 6 8 9 10","reference-coverage","","Bb minor","5","Estratégia — Centro de referência","Ebm7 | F7 | Ebm7 | F7 | Ebm7 | F7 | Bbm | Bbm7","divergent","0.2","0.6"
"imported-real-book/a-014-Ain't misbehavin.musicxml","Ain't misbehavin","1 2 3 4 5 6 8 9","primary-window reference-coverage","","Bb minor","8","Estratégia — Centro de referência","F7 | Ebm7 | F7 | Ebm7 | F7 | Ebm7 | F7 | Bbm","aligned","1","0.75"
