"file","title","referenceChordCount","referenceMeasureCount","referenceDensity","referenceDenseMeasures","generatedIdeaCount","generatedDenseIdeaCount","melodyDerivedDenseIdeaCount","referenceDerivedDenseIdeaCount","maximumGeneratedDensity","maximumMelodyDerivedDensity","referenceVocabularyLabel","status","melodyDensityStatus"
"a child is born.musicxml","Untitled score","39","38","1.03","1","9","3","1","2","1.33","1.33","1 ii-V, 5 dom. apl., 2 dom. prim., 9 modal, 6 plagal m.","referencia-densa-coberta","densidade-gerada-pela-melodia"
"a fine romance.musicxml","Untitled score","41","24","1.71","14","7","2","1","1","1.71","1.33","2 ii-V, 3 dom. apl., 4 dom. prim., 4 SubV, 2 dim. res., 6 tonica 6","referencia-densa-coberta","densidade-gerada-pela-melodia"
"Actual proof.musicxml","Untitled score","20","13","1.54","3","9","3","1","2","1.54","1.33","1 modal, slash 0.3","referencia-densa-coberta","densidade-gerada-pela-melodia"
"affirmation.musicxml","Untitled score","21","18","1.17","3","8","4","3","1","1.33","1.33","1 ii-V, 1 dom. apl., 1 dom. prim., 2 SubV, 1 modal","referencia-densa-coberta","densidade-gerada-pela-melodia"
"african flower.musicxml","Untitled score","23","23","1","0","8","3","3","0","1.33","1.33","1 dom. apl., 1 dom. prim.","referencia-contida","referencia-sem-densidade"
"afro blue.musicxml","Untitled score","38","30","1.27","8","7","3","2","1","1.33","1.33","funcional direto","referencia-densa-coberta","densidade-gerada-pela-melodia"
"afron-centric.musicxml","Untitled score","12","11","1.09","1","6","2","1","1","1.33","1.33","funcional direto","referencia-densa-coberta","densidade-gerada-pela-melodia"
"after you.musicxml","Untitled score","55","31","1.77","13","6","3","2","1","1.77","1.33","8 modal, slash 0.35","referencia-densa-coberta","densidade-gerada-pela-melodia"
"after you've gone.musicxml","Untitled score","34","20","1.7","11","16","6","5","1","1.7","1.33","1 ii-V, 7 dom. apl., 2 dom. prim., 6 modal, 3 tonica 6","referencia-densa-coberta","densidade-gerada-pela-melodia"
"afternoon in Paris.musicxml","Untitled score","39","25","1.56","14","12","5","4","1","1.56","1.33","7 ii-V, 5 dom. apl., 5 dom. prim., 1 SubV, 5 modal","referencia-densa-coberta","densidade-gerada-pela-melodia"
"Ain't it the truth.musicxml","Untitled score","36","30","1.2","5","11","4","3","1","1.33","1.33","2 ii-V, 9 dom. apl., 7 dom. prim., 1 SubV","referencia-densa-coberta","densidade-gerada-pela-melodia"
"Ain't misbehavin.musicxml","Untitled score","50","26","1.92","22","10","6","4","2","1.92","1.33","1 ii-V, 11 dom. apl., 3 dom. prim., 3 dim. res., 3 modal, 2 plagal m., 6 tonica 6","referencia-densa-coberta","densidade-gerada-pela-melodia"
"Air mail special.musicxml","Untitled score","54","32","1.69","22","7","3","1","2","1.69","1.33","6 ii-V, 3 dom. apl., 9 dom. prim., 2 SubV, 2 dim. res., 10 tonica 6","referencia-densa-coberta","densidade-gerada-pela-melodia"
