file,source,proposal,measure,chord,primarySource,primaryFunction,primaryFit,primaryMaterials,availableMaterials,cells,status
"Actual proof.musicxml","reference","","1","Cm7","C dorian","modal","aligned","m7 dórico / 6","m7 dórico / 6 | pilha pentatônica dórica","C-Eb-G-Bb | C-Eb-G-A | D-Eb-C","primary-material"
"Actual proof.musicxml","reference","","3","Cm7","C dorian","color","aligned","m7 dórico / 6","m7 dórico / 6 | pilha pentatônica dórica","C-Eb-G-Bb | C-Eb-G-A | D-Eb-C","primary-material"
"Actual proof.musicxml","reference","","7","Gb/Bb","Gb major","color","neutral","","maj7 lídio / tríade do II | maj / tríades superiores","Gb-Bb-Db-F | Ab-C-Eb | C->Db | Db-F-Ab","available-nonprimary"
"Actual proof.musicxml","reference","","8","A7alt","A altered","modal","caution","Células da escala alterada","Células da escala alterada | Arpejos diminutos H/W | side slip pentatônico | eixo diminuto / ii menores","Bb-C-C# | D#-F-G","primary-material"
"Actual proof.musicxml","reference","","8","A13","A mixolydian","modal","caution","dominante natural / notas-guia | ii menor sobre dominante","dominante natural / notas-guia | ii menor sobre dominante | dominante bebop / notas-guia | side slip pentatônico | eixo diminuto / ii menores | 7 / tríades superiores naturais","A-C#-E-G | E-G-B-D | E-G-A-B-D | G-B-D-F#","primary-material"
"Actual proof.musicxml","reference","","9","Asus4(7,9,11,13)","A mixolydian","color","aligned","dominante sus / pentatônica","dominante sus / pentatônica | side slip pentatônico | eixo diminuto / ii menores | sus quartal / pentatônico","A-D-E-G | B-D-E-A","primary-material"
"Actual proof.musicxml","reference","","11","Ebm7(b5)","Eb locrian #2","tonic","caution","iiø lócrio #2","iiø lócrio #2 | ø7 / estruturas superiores","Eb-Gb-A-Db | F-Gb-Eb | Db->D# | Gb->G","primary-material"
"Actual proof.musicxml","reference","","12","Bsus4(7)","B mixolydian","color","neutral","dominante sus / pentatônica","dominante sus / pentatônica | eixo diminuto / ii menores | side slip pentatônico | sus quartal / pentatônico","B-E-F#-A | C#-E-F#-B","primary-material"
"Actual proof.musicxml","reference","","12","C#sus4(7)/Bb","C# mixolydian","color","neutral","dominante sus / pentatônica","dominante sus / pentatônica | eixo diminuto / ii menores | side slip pentatônico | sus quartal / pentatônico","C#-F#-G#-B | D#-F#-G#-C#","primary-material"
"Actual proof.musicxml","reference","","12","Dm7","D dorian","color","neutral","m7 dórico / 6","m7 dórico / 6 | pilha pentatônica dórica","D-F-A-C | D-F-A-B | E-F-D","primary-material"
"Actual proof.musicxml","reference","","12","Em7","E dorian","color","neutral","m7 dórico / 6","m7 dórico / 6 | pilha pentatônica dórica","E-G-B-D | E-G-B-C# | F#-G-E","primary-material"
"Actual proof.musicxml","reference","","13","A9","A mixolydian","dominant","neutral","dominante natural / notas-guia | ii menor sobre dominante","dominante natural / notas-guia | ii menor sobre dominante | dominante bebop / notas-guia | side slip pentatônico | eixo diminuto / ii menores | 7 / tríades superiores naturais","A-C#-E-G | C#->Eb | E-G-B-D | E-G-A-B-D | G-B-D-F#","primary-material"
"Actual proof.musicxml","reference","","14","Eb(#11)/D","Eb lydian","tonic","aligned","maj7 lídio / tríade do II","maj7 lídio / tríade do II | maj / tríades superiores","Eb-G-Bb-D | F-A-C | A->Bb","primary-material"
"Actual proof.musicxml","reference","","16","F7","F mixolydian","predominant","aligned","dominante natural / notas-guia | ii menor sobre dominante","dominante natural / notas-guia | ii menor sobre dominante | dominante bebop / notas-guia | side slip pentatônico | 7 / tríades superiores naturais | eixo diminuto / ii menores","F-A-C-Eb | A->C | C-Eb-G-Bb | C-Eb-F-G-Bb | Eb-G-Bb-D","primary-material"
"Actual proof.musicxml","reference","","18","Cm7","C dorian","color","aligned","m7 dórico / 6","m7 dórico / 6 | pilha pentatônica dórica","C-Eb-G-Bb | C-Eb-G-A | D-Eb-C","primary-material"
"Actual proof.musicxml","reference","","20","Bsus4(7,9)","B mixolydian","color","neutral","dominante sus / pentatônica","dominante sus / pentatônica | eixo diminuto / ii menores | side slip pentatônico | sus quartal / pentatônico","B-E-F#-A | C#-E-F#-B","primary-material"
"Actual proof.musicxml","reference","","20","A9","A bebop dominant","color","aligned","dominante bebop / notas-guia","dominante bebop / notas-guia | eixo diminuto / ii menores | dominante natural / notas-guia | ii menor sobre dominante | side slip pentatônico | 7 / tríades superiores naturais","A-C#-E-G | G-G#-A | C#->F | G->A","primary-material"
"Actual proof.musicxml","reference","","20","F/E","F major","predominant","aligned","","maj7 lídio / tríade do II | maj / tríades superiores","F-A-C-E | G-B-D | B->C | C-E-G","available-nonprimary"
"Actual proof.musicxml","reference","","20","G/D","G major","color","aligned","","maj7 lídio / tríade do II | maj / tríades superiores","G-B-D-F# | A-C#-E | C#->D | D-F#-A","available-nonprimary"
"Actual proof.musicxml","reference","","22","Eb(#11)/D","Eb lydian","tonic","neutral","maj7 lídio / tríade do II","maj7 lídio / tríade do II | maj / tríades superiores","Eb-G-Bb-D | F-A-C | A->Bb","primary-material"
"Actual proof.musicxml","generated-primary","Rearmonização — ritmo harmônico da partitura","7","Gb/Bb","Gb major","color","neutral","","maj7 lídio / tríade do II | maj / tríades superiores","Gb-Bb-Db-F | Ab-C-Eb | C->Db | Db-F-Ab","available-nonprimary"
"Actual proof.musicxml","generated-primary","Rearmonização — ritmo harmônico da partitura","9","A13sus4","A mixolydian","color","caution","dominante sus / pentatônica","dominante sus / pentatônica | side slip pentatônico | eixo diminuto / ii menores | sus quartal / pentatônico","A-D-E-G | B-D-E-A","primary-material"
"Actual proof.musicxml","generated-primary","Rearmonização — ritmo harmônico da partitura","11","Ebm7b5","Eb locrian #2","color","aligned","iiø lócrio #2","iiø lócrio #2 | ø7 / estruturas superiores","Eb-Gb-A-Db | F-Gb-Eb | Db->D# | Gb->G","primary-material"
"Actual proof.musicxml","generated-primary","Rearmonização — ritmo harmônico da partitura","12","B7sus4","B mixolydian","color","aligned","dominante sus / pentatônica","dominante sus / pentatônica | eixo diminuto / ii menores | side slip pentatônico | sus quartal / pentatônico","B-E-F#-A | C#-E-F#-B","primary-material"
"Actual proof.musicxml","generated-primary","Rearmonização — ritmo harmônico da partitura","12","C#7sus4/Bb","C# eixo diminuto dominante","color","aligned","eixo diminuto / ii menores","eixo diminuto / ii menores | dominante sus / pentatônica | side slip pentatônico | sus quartal / pentatônico","G#-B-D#-F# | B-D-F#-A | D-F-A-C | F-Ab-C-Eb","primary-material"
"Actual proof.musicxml","generated-primary","Rearmonização — ritmo harmônico da partitura","12","Dm7","D dorian","color","caution","m7 dórico / 6","m7 dórico / 6 | pilha pentatônica dórica","D-F-A-C | D-F-A-B | E-F-D","primary-material"
"Actual proof.musicxml","generated-primary","Rearmonização — ritmo harmônico da partitura","12","Em7","E dorian","tonic","caution","m7 dórico / 6","m7 dórico / 6 | pilha pentatônica dórica","E-G-B-D | E-G-B-C# | F#-G-E","primary-material"
"Ain't it the truth.musicxml","reference","","1","Db","Db lydian","tonic","aligned","maj7 lídio / tríade do II","maj7 lídio / tríade do II | maj / tríades superiores","Db-F-Ab-C | Eb-G-Bb | G->Ab","primary-material"
"Ain't it the truth.musicxml","reference","","4","Ebm7","Eb dorian","predominant","aligned","m7 dórico / 6","m7 dórico / 6 | pilha pentatônica dórica","Eb-Gb-Bb-Db | Eb-Gb-Bb-C | F-Gb-Eb","primary-material"
"Ain't it the truth.musicxml","reference","","4","Ab7","Ab mixolydian","color","aligned","dominante natural / notas-guia | ii menor sobre dominante","dominante natural / notas-guia | ii menor sobre dominante | dominante bebop / notas-guia | eixo diminuto / ii menores | side slip pentatônico | 7 / tríades superiores naturais","Ab-C-Eb-Gb | C->E | Gb->G# | Eb-Gb-Bb-Db | Eb-Gb-Ab-Bb-Db | Gb-Bb-Db-F","primary-material"
"Ain't it the truth.musicxml","reference","","4","E7","E mixolydian","color","neutral","dominante natural / notas-guia | ii menor sobre dominante","dominante natural / notas-guia | ii menor sobre dominante | dominante bebop / notas-guia | SubV lídio dominante | eixo diminuto / ii menores | side slip pentatônico | 7 / tríades superiores naturais","E-G#-B-D | G#->Eb | D->G | B-D-F#-A | B-D-E-F#-A | D-F#-A-C#","primary-material"
"Ain't it the truth.musicxml","reference","","5","Eb7","Eb mixolydian","predominant","aligned","dominante natural / notas-guia | ii menor sobre dominante","dominante natural / notas-guia | ii menor sobre dominante | dominante bebop / notas-guia | side slip pentatônico | 7 / tríades superiores naturais | eixo diminuto / ii menores","Eb-G-Bb-Db | G->Ab | Db->C | Bb-Db-F-Ab | Bb-Db-Eb-F-Ab | Db-F-Ab-C","primary-material"
"Ain't it the truth.musicxml","reference","","6","Ab7","Ab mixolydian","dominant","neutral","dominante natural / notas-guia | ii menor sobre dominante","dominante natural / notas-guia | ii menor sobre dominante | dominante bebop / notas-guia | eixo diminuto / ii menores | side slip pentatônico | 7 / tríades superiores naturais","Ab-C-Eb-Gb | C->Db | Gb->F | Eb-Gb-Bb-Db | Eb-Gb-Ab-Bb-Db | Gb-Bb-Db-F","primary-material"
"Ain't it the truth.musicxml","reference","","7","Db7","Db mixolydian","tonic","caution","dominante natural / notas-guia | ii menor sobre dominante","dominante natural / notas-guia | ii menor sobre dominante | dominante bebop / notas-guia | eixo diminuto / ii menores | side slip pentatônico | 7 / tríades superiores naturais","Db-F-Ab-B | F->Gb | B->Bb | Ab-B-Eb-Gb | Ab-B-Db-Eb-Gb | B-Eb-Gb-Bb","primary-material"
