"file","sourceId","title","status","measures","noteCount","harmonyCount","sectionCount","keySignature","windowMeasures","proposalCount","referenceOverlapCount","selectedCenter","selectedCenterSource","primaryProposalName","primaryChords","parseError"
"a-002-A child is born.musicxml","a","A child is born","harmonized","25","67","59","0","C","1 2 3 4 5 6 7 8","5","7","D minor","reference","Estratégia — Tonal Clássico","Dmaj9 / A7/G / D6/A / Am7/D",""
"a-004-Actual proof.musicxml","a","Actual proof","harmonized","36","214","21","2","","1 2 3 4 5 6 7 8","9","4","B minor","reference","Estratégia — Centro de referência","Bm7 | Bm7 | Bm7 | Em7 | C#m7b5 | Bm7 | Bm7 | Bm7",""
"a-005-Affirmation.musicxml","a","Affirmation","harmonized","41","165","23","3","Db","1 2 3 4 5 6 7 8","6","4","Eb minor","reference","Estratégia — Cromático Linear","Abmaj7/Eb / F#dim7/E / Edim7/F / Ebdim7/Bb",""
"a-006-African flower.musicxml","a","African flower","harmonized","40","75","49","0","Ab","1 2 3 4 5 6 7 8","13","8","F minor","reference","Estratégia — Tonal Clássico","Fmaj7 / Fm7/Bb / Fmaj7/C / Fm7",""
"a-007-Afro blue.musicxml","a","Afro blue","harmonized","27","87","12","0","Ab","1 2 3 4 5 6 7 8","7","2","C minor","reference","Estratégia — Tonal Clássico","Cmaj7 / Fmaj7 / G13 / Cmaj9",""
"a-008-Afro-centric.musicxml","a","Afro-centric","harmonized","26","107","11","0","","15 16 17 18 19 20 21 22","1","3","Gb major","reference","Estratégia — Centro de referência","Gb | Db7/F | Gb | Gb | Gb | Abm7 | Db7 | Gb",""
"a-009-Afro-centric.musicxml","a","Afro-centric","harmonized","34","142","55","0","D","1 2 3 4 5 6 7 8","9","7","B minor","reference","Estratégia — Tonal Clássico","F#m7/B / F#m7/E / F#m7 / F#m7/B",""
"a-010-After you.musicxml","a","After you","harmonized","20","93","34","0","","1 2 3 4 5 6 7 8","14","8","Bb major","reference","Estratégia — Cromático Linear","Bb6 / Bdim7 / C7 / F7",""
"a-011-After you've gone.musicxml","a","After you've gone","harmonized","26","110","44","2","","1 2 3 4 5 6 7 8","10","7","Bb major","reference","Estratégia — Contraponto de Baixo","Edim7/Bb / Ebmaj7 / C7/E / F7 / Bbmaj7",""
"a-012-Afternoon in Paris.musicxml","a","Afternoon in Paris","harmonized","38","153","36","0","Db","1 2 3 4 5 6 7 8","5","6","Bb minor","melody","Estratégia — Gramática funcional ii-V","Ebm7 | Ab7 | Dbmaj7",""
"a-013-Ain't it the truth.musicxml","a","Ain't it the truth","harmonized","26","110","77","3","Eb","1 2 3 4 5 6 7 8","12","8","Eb major","reference","Estratégia — Tonal Clássico","Ebmaj7 / Bb7/Ab / Ebmaj7/Bb / Ebmaj7",""
"a-014-Ain't misbehavin.musicxml","a","Ain't misbehavin","harmonized","34","109","46","3","Ab","1 2 3 4 5 6 8 9","8","4","Bb minor","reference","Estratégia — Tonal Clássico","Bbmaj7 / Cm7/Eb / F7 / Bbmaj9",""
"a-015-Airegin.musicxml","a","Airegin","harmonized","34","224","54","4","Ab","1 2 3 4 5 6 7 8","7","7","Ab major","reference","Estratégia — Dominantes secundárias","Ab | Db | Ab/C | Ab | Ab7 | Db | Gm7b5 / Bb7/Ab / Eb7/G | Ab",""
"a-017-Aja.musicxml","a","Aja","harmonized","34","147","51","3","C","1 2 3 4 5 6 7 8","7","8","D minor","reference","Estratégia — Tonal Clássico","Gmaj7/D / Gmaj7 / A7 / Dmaj7",""
"a-019-Alfie.musicxml","a","Alfie","harmonized","25","127","40","0","Db","1 2 3 4 5 6 7 8","10","7","Bb minor","reference","Estratégia — Tonal Clássico","Bbmaj7 / Ebmaj7 / F7 / Ebmaj7/Bb",""
"a-020-Alfie's theme.musicxml","a","Alfie's theme","harmonized","50","85","54","0","C","1 2 3 4 5 6 7 8","7","8","C major","reference","Estratégia — Tonal Clássico","Cmaj7 / Fmaj7 / G7 / Cmaj7",""
"a-021-Alice in wonderland.musicxml","a","Alice in wonderland","harmonized","23","96","37","0","D","1 2 3 4 5 6 7 8","8","7","B minor","reference","Estratégia — Cromático Linear","Bdim7 / Bdim7/C / C#7 / A#7/F#",""
"a-022-All alone.musicxml","a","All alone","harmonized","12","37","7","0","C","2 3 4 5 6 7 8 9","6","3","A minor","melody","Estratégia — Gramática funcional ii-V","Dm7 | G7 | Cmaj7",""
"a-023-All blues.musicxml","a","All blues","harmonized","35","106","45","0","F","4 5 6 7 8 9 10 11","5","8","D minor","reference","Estratégia — Tonal Clássico","Gmaj7/D / Dm7/G / Dmaj7/A / Dmaj7",""
"a-024-All in love is fair.musicxml","a","All in love is fair","harmonized","30","130","45","3","G","1 2 3 4 5 6 7 8","5","7","A minor","reference","Estratégia — Tonal Clássico","Amaj7 / Dmaj7 / E7 / Amaj7",""
"a-025-All my tomorrows.musicxml","a","All my tomorrows","harmonized","32","85","24","0","C","1 2 3 4 5 6 7 8","7","4","D minor","reference","Estratégia — Tonal Clássico","Am7/D / Gmaj7 / A7 / Gmaj7/D",""
"a-026-All of me.musicxml","a","All of me","harmonized","33","79","37","0","Eb","1 2 3 4 5 6 7 8","7","7","Ab minor","reference","Estratégia — Cromático Linear","Abmaj7 / Eb7/A / Ddim7/A / Bb7",""
"a-027-All of you.musicxml","a","All of you","harmonized","48","122","88","3","C","1 2 3 4 5 6 7 8","5","8","A minor","reference","Estratégia — Cromático Linear","Amaj7 / C#dim7/Bb / C#dim7/Bb / B#dim7/B",""
"a-028-All or nothing at all.musicxml","a","All or nothing at all","harmonized","36","90","34","0","Ab","1 2 3 4 5 6 7 8","6","7","Ab major","reference","Estratégia — Tonal Clássico","Abmaj7 / Eb13/Db / Ab6/Eb / Dbm6/Ab",""
"a-030-All the things you are.musicxml","a","All the things you are","harmonized","30","81","38","3","Bb","1 2 3 4 5 6 7 8","9","8","Bb major","reference","Estratégia — Tonal Clássico","Bbmaj7 / F13/Eb / Bb6/F / Bb6",""
"a-031-Almost like being in love.musicxml","a","Almost like being in love","harmonized","33","86","44","0","F","1 2 3 4 5 6 7 8","7","7","D minor","reference","Estratégia — Tonal Clássico","Dmaj7 / Em7/G / A7 / Dmaj7",""
"a-032-Alone together.musicxml","a","Alone together","harmonized","34","121","43","3","Ab","1 2 3 4 5 6 7 8","1","8","A major","reference","Estratégia — Centro de referência","A | A | A | A | F#m7 | A | D | A",""
"a-033-Along came Betty.musicxml","a","Along came Betty","harmonized","31","132","58","0","C","1 2 3 4 5 6 7 8","6","8","A minor","reference","Estratégia — Centro de referência","Am | Am7 | Am | Am7 | Am7 | Fmaj7 | Am/E | Am",""
"a-034-Always and forever.musicxml","a","Always and forever","harmonized","54","109","55","0","","5 6 7 8 9 10 11 12","1","8","C minor","reference","Estratégia — Centro de referência","Bb7 | Bb7 | Cm6 | Cm | Cm | Cm7 | Cm | Cm",""
"a-035-Ana Maria.musicxml","a","Ana Maria","harmonized","27","120","61","3","Eb","1 2 3 4 5 6 7 8","4","8","C minor","reference","Estratégia — Cromático Linear","Cdim7 / Cdim7/Db / Cdim7/Db / D7",""
"a-037-Angel eyes.musicxml","a","Angel eyes","harmonized","41","160","34","3","A","1 2 3 4 5 6 7 8","8","7","F# minor","reference","Estratégia — Contraponto de Baixo","F#maj7 / Bmaj7 / G#7/B# / F#dim7/C# / F#maj7",""
