"file","title","status","referenceCenter","referenceIdiom","harmonyCount","signalScore","iiVCells","appliedDominants","primaryDominants","tritoneSubstitutions","diminishedChords","resolvedDiminished","modalBorrowingColors","minorPlagalCadences","tonicMajorSixths","slashChordDensity","examples","notes"
"a child is born.musicxml","Untitled score","ok","Bb major","blues","39","17.86","1","5","2","0","0","0","1","6","0","0.23","Ebm/Bb / Ebm/Bb / Ebm/B / D7(#9) / D7(b9) / D7(b9) / C7 / Fsus4(7)","cadencias ii-V detectadas; dominantes aplicadas recorrentes; mistura modal funcional; leitura harmonica inferida: blues"
"a fine romance.musicxml","Untitled score","ok","C major","blues","41","18.3","2","3","4","4","4","2","0","0","6","0.1","C6 / C#° / G7/D / D#dim7 / G7 / C6 / C7 / A13","cadencias ii-V detectadas; dominantes aplicadas recorrentes; diminutos com resolucao local; cor de tonica 6/6-9; leitura harmonica inferida: blues"
"Actual proof.musicxml","Untitled score","ok","Eb major","blues","20","1.7","0","0","0","0","0","0","1","0","0","0.3","Gb/Bb / A7alt / A13 / Asus4(7,9,11,13) / Bsus4(7) / C#sus4(7)/Bb / A9 / Eb(#11)/D","mistura modal funcional; leitura harmonica inferida: blues"
"affirmation.musicxml","Untitled score","ok","G major","minor-functional","21","6.6","1","1","1","2","0","0","1","0","0","0","D7 / E7 / Asus4(7) / F7 / Eb7 / Asus4(7)","cadencias ii-V detectadas; dominantes aplicadas recorrentes; mistura modal funcional; leitura harmonica inferida: minor-functional"
"african flower.musicxml","Untitled score","ok","Eb minor","minor-functional","23","1.7","0","1","1","0","0","0","0","0","0","0","Gb7 / Cb7 / Gb7(#11) / Ab7 / D7 / Bb7","dominantes aplicadas recorrentes; leitura harmonica inferida: minor-functional"
"afro blue.musicxml","Untitled score","ok","F minor","minor-functional","38","0","0","0","0","0","0","0","0","0","0","0","Ebsus4(7) / Dbsus4(7) / Ebsus4(7) / Ebsus4(7) / Dbsus4(7) / Ebsus4(7)","leitura harmonica inferida: minor-functional"
"afron-centric.musicxml","Untitled score","ok","Gb major","major-functional","12","0","0","0","0","0","0","0","0","0","0","0","","Vocabulário funcional direto, sem cromatismo aplicado forte nesta leitura."
"after you.musicxml","Untitled score","ok","G major","minor-functional","55","5.1","0","0","0","0","0","0","4","0","0","0.35","G/A / F#/A / A/C# / G/A / G/A / F#/D / F7 / G/A","mistura modal funcional; leitura harmonica inferida: minor-functional"
"after you've gone.musicxml","Untitled score","ok","Bb major","minor-functional","34","14.72","1","7","2","0","1","0","3","0","3","0.06","Ebm6 / Ab7 / D7 / G7 / C7 / F7 / Bb6 / F7","cadencias ii-V detectadas; dominantes aplicadas recorrentes; mistura modal funcional; cor de tonica 6/6-9; leitura harmonica inferida: minor-functional"
"afternoon in Paris.musicxml","Untitled score","ok","C major","minor-functional","39","23.76","7","5","5","1","0","0","5","0","0","0.03","F7 / Eb7 / G7(b9) / G7 / G(add9)(b7) / C/E / Bb7 / A7(9)","cadencias ii-V detectadas; dominantes aplicadas recorrentes; mistura modal funcional; leitura harmonica inferida: minor-functional"
"Ain't it the truth.musicxml","Untitled score","ok","Db major","blues","36","17.8","2","9","7","1","0","0","0","0","0","0","Ab7 / E7 / Eb7 / Ab7 / Db7 / Gb7 / Eb7 / Ab7","cadencias ii-V detectadas; dominantes aplicadas recorrentes; leitura harmonica inferida: blues"
