"file","title","status","referenceCenter","referenceIdiom","harmonyCount","dominantCount","simple","color","altered","highAltered","resolvedAltered","contextualAltered","unresolvedAltered","resolvedColor","unresolvedColor","subVResolutions","delayedResolutions","prolongedResolutions","deceptiveResolutions","alteredResolutionRatio","unresolvedAlteredRatio","examples","notes"
"a child is born.musicxml","Untitled score","ok","Bb major","blues","39","12","6","2","3","1","3","1","0","1","1","0","0","2","1","0.75","0","D7(#9) -> Gm (altered) / D7(b9) -> Gm (altered) / D7(b9) -> Gm (altered) / D7alt -> Eb(add9) (high-altered) / Ab9 -> Cm7(b5) (color) / F7(13) -> Bb (color)","dominantes alteradas com resolução local; dominantes alteradas com resolução contextual; dominantes coloridas recorrentes"
"a fine romance.musicxml","Untitled score","ok","C major","blues","41","22","16","6","0","0","0","0","0","6","0","4","1","1","5","0","0","A13 -> Ab13 (color) / Ab13 -> G13 (color) / G13 -> Dm7 (color) / Gb13 -> F13 (color) / F13 -> E7 (color) / G(add9)(b7) -> C6 (color)","dominantes coloridas recorrentes; resoluções cromáticas tipo SubV"
"Actual proof.musicxml","Untitled score","ok","Eb major","blues","20","9","3","5","0","1","0","1","0","2","3","0","0","0","3","0","0","A7alt -> A13 (high-altered) / A13 -> Asus4(7,9,11,13) (color) / Asus4(7,9,11,13) -> Ebm7(b5) (color) / A9 -> Eb(#11)/D (color) / Bsus4(7,9) -> A9 (color) / A9 -> F/E (color)","dominantes alteradas com resolução contextual; dominantes coloridas recorrentes"
"affirmation.musicxml","Untitled score","ok","G major","minor-functional","21","6","6","0","0","0","0","0","0","0","0","2","0","0","1","0","0","","resoluções cromáticas tipo SubV"
"african flower.musicxml","Untitled score","ok","Eb minor","minor-functional","23","6","5","1","0","0","0","0","0","1","0","0","0","0","2","0","0","Gb7(#11) -> Ab7 (color)","dominantes coloridas recorrentes"
"afro blue.musicxml","Untitled score","ok","F minor","minor-functional","38","12","12","0","0","0","0","0","0","0","0","0","0","0","8","0","0","","Predomínio de dominantes simples ou poucas tensões explícitas."
"afron-centric.musicxml","Untitled score","ok","Gb major","major-functional","12","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","Predomínio de dominantes simples ou poucas tensões explícitas."
"after you.musicxml","Untitled score","ok","G major","minor-functional","55","3","3","0","0","0","0","0","0","0","0","0","0","0","2","0","0","","Predomínio de dominantes simples ou poucas tensões explícitas."
"after you've gone.musicxml","Untitled score","ok","Bb major","minor-functional","34","14","14","0","0","0","0","0","0","0","0","0","0","0","3","0","0","","Predomínio de dominantes simples ou poucas tensões explícitas."
"afternoon in Paris.musicxml","Untitled score","ok","C major","minor-functional","39","15","10","3","2","0","2","0","0","3","0","2","1","1","1","1","0","G7(b9) -> C (altered) / G(add9)(b7) -> C/E (color) / A7(9) -> A7 (color) / G(add9)(b7) -> Dbm7 (color) / G7(b9) -> C (altered)","dominantes alteradas com resolução local; dominantes coloridas recorrentes; resoluções cromáticas tipo SubV"
"Ain't it the truth.musicxml","Untitled score","ok","Db major","blues","36","26","26","0","0","0","0","0","0","0","0","1","3","2","4","0","0","","resoluções cromáticas tipo SubV"
"Ain't misbehavin.musicxml","Untitled score","ok","Eb major","major-functional","50","21","12","3","6","0","5","1","0","3","0","0","1","0","4","0.83","0","C7(b9) -> Fm7 (altered) / Bb9 -> G7 (color) / D7(b9) -> G7(#5) (altered) / G7(#5) -> Cm7 (altered) / F13 -> G7(#9) (color) / G7(#9) -> C7 (altered) / F13 -> Bb7 (color) / G7(#5) -> Ab6 (altered)","dominantes alteradas com resolução local; dominantes alteradas com resolução contextual; dominantes coloridas recorrentes"
"Air mail special.musicxml","Untitled score","ok","Ab major","blues","54","17","17","0","0","0","0","0","0","0","0","2","0","1","0","0","0","","resoluções cromáticas tipo SubV"
"Airegin.musicxml","Untitled score","ok","Bb minor","minor-functional","46","18","14","0","2","2","3","0","1","0","0","2","2","0","4","0.75","0.25","C7alt -> Fm (high-altered) / F7(b9) -> Bbm (altered) / F7alt -> Bbm7 (high-altered) / E7(b9) -> Ab (altered)","dominantes alteradas com resolução local; dominantes alteradas sem alvo imediato; resoluções cromáticas tipo SubV"
"asa branca.musicxml","Untitled score","no-reference-harmony","n/a","n/a","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","Sem cifras de referencia."
"autum leaves.musicxml","Autumn leaves","ok","E minor","minor-functional","67","20","10","0","10","0","10","0","0","0","0","2","0","0","0","1","0","B7(b13) -> Em6 (altered) / B7(b13) -> Em6 (altered) / B7(b13) -> Em6 (altered) / B7(b13) -> Em6 (altered) / B7(b13) -> Em6 (altered) / B7(b13) -> Em6 (altered) / B7(b13) -> Em6 (altered) / B7(b13) -> Em6 (altered)","dominantes alteradas com resolução local; resoluções cromáticas tipo SubV"
"Bright Size Life.musicxml","Imported Score","ok","D major","major-functional","18","3","2","1","0","0","0","0","0","1","0","0","1","0","0","0","0","D9 -> D/C (color)","dominantes coloridas recorrentes"
"exemplo.musicxml","Untitled score","no-reference-harmony","n/a","n/a","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","Sem cifras de referencia."
"imported-real-book/a-002-A child is born.musicxml","A child is born","ok","C major","blues","59","28","22","6","0","0","0","0","0","6","0","5","5","1","6","0","0","A13 -> Ab7 (color) / Ab13 -> Dm7 (color) / G13 -> G7 (color) / Gb13 -> F (color) / F13 -> E7 (color) / G(add9)(b7) -> C6 (color)","dominantes coloridas recorrentes; resoluções cromáticas tipo SubV"
"imported-real-book/a-004-Actual proof.musicxml","Actual proof","ok","G major","minor-functional","21","6","6","0","0","0","0","0","0","0","0","2","0","0","1","0","0","","resoluções cromáticas tipo SubV"
"imported-real-book/a-005-Affirmation.musicxml","Affirmation","ok","Eb minor","minor-functional","23","6","5","1","0","0","0","0","0","1","0","0","0","0","2","0","0","Gb7(#11) -> Ab7 (color)","dominantes coloridas recorrentes"
"imported-real-book/a-006-African flower.musicxml","African flower","ok","F minor","minor-functional","49","12","12","0","0","0","0","0","0","0","0","0","0","0","4","0","0","","Predomínio de dominantes simples ou poucas tensões explícitas."
"imported-real-book/a-007-Afro blue.musicxml","Afro blue","ok","Gb major","major-functional","12","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","Predomínio de dominantes simples ou poucas tensões explícitas."
"imported-real-book/a-008-Afro-centric.musicxml","Afro-centric","ok","Gb major","major-functional","11","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","Predomínio de dominantes simples ou poucas tensões explícitas."
"imported-real-book/a-009-Afro-centric.musicxml","Afro-centric","ok","G major","minor-functional","55","3","3","0","0","0","0","0","0","0","0","0","0","0","2","0","0","","Predomínio de dominantes simples ou poucas tensões explícitas."
"imported-real-book/a-010-After you.musicxml","After you","ok","Bb major","minor-functional","34","14","14","0","0","0","0","0","0","0","0","0","0","0","3","0","0","","Predomínio de dominantes simples ou poucas tensões explícitas."
"imported-real-book/a-011-After you've gone.musicxml","After you've gone","ok","C major","minor-functional","44","15","10","3","2","0","2","0","0","3","0","1","1","0","1","1","0","G7(b9) -> C (altered) / G(add9)(b7) -> C/E (color) / A7(9) -> Em7 (color) / G(add9)(b7) -> C (color) / G7(b9) -> C (altered)","dominantes alteradas com resolução local; dominantes coloridas recorrentes; resoluções cromáticas tipo SubV"
"imported-real-book/a-012-Afternoon in Paris.musicxml","Afternoon in Paris","ok","Db major","blues","36","26","26","0","0","0","0","0","0","0","0","1","3","2","4","0","0","","resoluções cromáticas tipo SubV"
"imported-real-book/a-013-Ain't it the truth.musicxml","Ain't it the truth","ok","Eb major","blues","77","33","24","3","6","0","4","2","0","3","0","0","3","3","4","0.67","0","C7(b9) -> Fm7 (altered) / Bb9 -> G7 (color) / D7(b9) -> G7 (altered) / G7(#5) -> Cm7 (altered) / F13 -> G7(#9) (color) / G7(#9) -> Gm7 (altered) / F13 -> Bb7 (color) / G7(#5) -> Eb7 (altered)","dominantes alteradas com resolução local; dominantes alteradas com resolução contextual; dominantes coloridas recorrentes"
"imported-real-book/a-014-Ain't misbehavin.musicxml","Ain't misbehavin","ok","Bb minor","minor-functional","46","18","14","0","2","2","3","0","1","0","0","2","2","0","4","0.75","0.25","C7alt -> Fm (high-altered) / F7(b9) -> Bbm (altered) / F7alt -> Bbm7 (high-altered) / E7(b9) -> Ab (altered)","dominantes alteradas com resolução local; dominantes alteradas sem alvo imediato; resoluções cromáticas tipo SubV"
"imported-real-book/a-015-Airegin.musicxml","Airegin","ok","Ab major","blues","54","17","17","0","0","0","0","0","0","0","0","2","0","1","0","0","0","","resoluções cromáticas tipo SubV"
"imported-real-book/a-017-Aja.musicxml","Aja","ok","C major","minor-functional","51","21","17","1","3","0","0","3","0","1","0","7","2","1","2","0","0","G7(#5) -> Dm7 (altered) / D7(#11) -> Gsus4(7) (color) / C7(b9) -> C (altered) / C7(b9) -> C (altered)","dominantes alteradas com resolução contextual; dominantes coloridas recorrentes; resoluções cromáticas tipo SubV"
"imported-real-book/a-019-Alfie.musicxml","Alfie","ok","Bb minor","minor-functional","40","14","6","0","8","0","8","0","0","0","0","0","0","0","0","1","0","F7(b9) -> Bbm (altered) / F7(b9) -> Bbm (altered) / F7(b9) -> Bbm (altered) / F7(b9) -> Bbm (altered) / F7(b9) -> Bbm (altered) / F7(b9) -> Bbm (altered) / F7(b9) -> Bbm (altered) / F7(b9) -> Bbm (altered)","dominantes alteradas com resolução local"
